timestamp,value,outputvalue,voltage
12/42/59/698585,9,13713.221700000002,9
12/42/59/698593,7,10486.581300000002,7
12/42/59/698600,1,806.6601,1
12/42/59/698607,6,8873.2611,6
12/42/59/698614,7,10486.581300000002,7
12/42/59/698621,10,15326.5419,10
12/43/00/699072,4,5646.6207,4
12/43/00/699095,4,5646.6207,4
12/43/00/699104,5,7259.9409000000005,5
12/43/00/699112,7,10486.581300000002,7
12/43/00/699119,1,806.6601,1
12/43/00/699127,4,5646.6207,4
12/43/00/699134,8,12099.9015,8
12/43/00/699141,10,15326.5419,10
12/43/00/699148,7,10486.581300000002,7
12/43/00/699156,8,12099.9015,8
12/43/01/699589,5,7259.9409000000005,5
12/43/01/699612,7,10486.581300000002,7
12/43/01/699621,5,7259.9409000000005,5
12/43/01/699628,7,10486.581300000002,7
12/43/01/699636,6,8873.2611,6
12/43/01/699643,9,13713.221700000002,9
12/43/01/699650,3,4033.3005000000003,3
12/43/01/699657,7,10486.581300000002,7
12/43/01/699664,6,8873.2611,6
12/43/01/699671,7,10486.581300000002,7
12/43/02/700099,6,8873.2611,6
12/43/02/700122,9,13713.221700000002,9
12/43/02/700132,9,13713.221700000002,9
12/43/02/700140,9,13713.221700000002,9
12/43/02/700147,10,15326.5419,10
12/43/02/700155,5,7259.9409000000005,5
12/43/02/700162,3,4033.3005000000003,3
12/43/02/700169,5,7259.9409000000005,5
12/43/02/700176,4,5646.6207,4
12/43/02/700183,5,7259.9409000000005,5
12/43/03/700654,1,806.6601,1
12/43/03/700676,9,13713.221700000002,9
12/43/03/700685,3,4033.3005000000003,3
12/43/03/700693,3,4033.3005000000003,3
12/43/03/700700,10,15326.5419,10
12/43/03/700708,6,8873.2611,6
12/43/03/700715,3,4033.3005000000003,3
12/43/03/700722,9,13713.221700000002,9
12/43/03/700730,1,806.6601,1
12/43/03/700737,7,10486.581300000002,7
12/43/04/701187,1,806.6601,1
12/43/04/701209,1,806.6601,1
12/43/04/701218,2,2419.9803,2
12/43/04/701225,9,13713.221700000002,9
12/43/04/701233,2,2419.9803,2
12/43/04/701239,5,7259.9409000000005,5
12/43/04/701247,8,12099.9015,8
12/43/04/701254,1,806.6601,1
12/43/04/701261,1,806.6601,1
12/43/04/701267,10,15326.5419,10
12/43/05/701880,10,15326.5419,10
12/43/05/701989,9,13713.221700000002,9
12/43/05/702027,9,13713.221700000002,9
12/43/05/702037,4,5646.6207,4
12/43/05/702045,3,4033.3005000000003,3
12/43/05/702053,5,7259.9409000000005,5
12/43/05/702061,10,15326.5419,10
12/43/05/702069,7,10486.581300000002,7
12/43/05/702077,8,12099.9015,8
12/43/05/702085,5,7259.9409000000005,5
12/43/06/702381,4,5646.6207,4
12/43/06/702407,9,13713.221700000002,9
12/43/06/702416,7,10486.581300000002,7
12/43/06/702425,9,13713.221700000002,9
12/43/06/702432,6,8873.2611,6
12/43/06/702439,10,15326.5419,10
12/43/06/702447,8,12099.9015,8
12/43/06/702454,10,15326.5419,10
12/43/06/702461,3,4033.3005000000003,3
12/43/06/702469,8,12099.9015,8
12/43/07/702911,10,15326.5419,10
12/43/07/702934,7,10486.581300000002,7
12/43/07/702942,10,15326.5419,10
12/43/07/702950,10,15326.5419,10
12/43/07/702957,1,806.6601,1
12/43/07/702964,9,13713.221700000002,9
12/43/07/702971,7,10486.581300000002,7
12/43/07/702978,6,8873.2611,6
12/43/07/702986,4,5646.6207,4
12/43/07/702993,5,7259.9409000000005,5
12/43/08/703444,2,2419.9803,2
12/43/08/703465,8,12099.9015,8
12/43/08/703473,10,15326.5419,10
12/43/08/703480,2,2419.9803,2
12/43/08/703488,3,4033.3005000000003,3
12/43/08/703495,6,8873.2611,6
12/43/08/703502,7,10486.581300000002,7
12/43/08/703510,7,10486.581300000002,7
12/43/08/703517,10,15326.5419,10
12/43/08/703524,9,13713.221700000002,9
12/43/09/703892,3,4033.3005000000003,3
12/43/09/703912,4,5646.6207,4
12/43/09/703921,6,8873.2611,6
12/43/09/703928,8,12099.9015,8
12/43/09/703935,2,2419.9803,2
12/43/09/703942,4,5646.6207,4
12/43/09/703949,7,10486.581300000002,7
12/43/09/703957,10,15326.5419,10
12/43/09/703964,4,5646.6207,4
12/43/09/703971,1,806.6601,1
12/43/10/704434,10,15326.5419,10
12/43/10/704457,8,12099.9015,8
12/43/10/704466,2,2419.9803,2
12/43/10/704474,6,8873.2611,6
12/43/10/704481,4,5646.6207,4
12/43/10/704489,2,2419.9803,2
12/43/10/704496,5,7259.9409000000005,5
12/43/10/704503,2,2419.9803,2
12/43/10/704510,3,4033.3005000000003,3
12/43/10/704517,3,4033.3005000000003,3
12/43/11/704951,5,7259.9409000000005,5
12/43/11/704972,9,13713.221700000002,9
12/43/11/704980,3,4033.3005000000003,3
12/43/11/704988,2,2419.9803,2
12/43/11/704995,2,2419.9803,2
12/43/11/705002,1,806.6601,1
12/43/11/705009,2,2419.9803,2
12/43/11/705016,9,13713.221700000002,9
12/43/11/705023,1,806.6601,1
12/43/11/705030,6,8873.2611,6
12/43/12/705480,3,4033.3005000000003,3
12/43/12/705501,7,10486.581300000002,7
12/43/12/705509,1,806.6601,1
12/43/12/705517,4,5646.6207,4
12/43/12/705524,3,4033.3005000000003,3
12/43/12/705531,1,806.6601,1
12/43/12/705538,10,15326.5419,10
12/43/12/705545,2,2419.9803,2
12/43/12/705552,5,7259.9409000000005,5
12/43/12/705559,6,8873.2611,6
12/43/13/706000,4,5646.6207,4
12/43/13/706021,4,5646.6207,4
12/43/13/706029,8,12099.9015,8
12/43/13/706037,5,7259.9409000000005,5
12/43/13/706044,5,7259.9409000000005,5
12/43/13/706051,5,7259.9409000000005,5
12/43/13/706058,2,2419.9803,2
12/43/13/706065,5,7259.9409000000005,5
12/43/13/706072,1,806.6601,1
12/43/13/706079,7,10486.581300000002,7
12/43/14/706438,3,4033.3005000000003,3
12/43/14/706457,9,13713.221700000002,9
12/43/14/706466,2,2419.9803,2
12/43/14/706473,4,5646.6207,4
12/43/14/706480,5,7259.9409000000005,5
12/43/14/706488,3,4033.3005000000003,3
12/43/14/706495,5,7259.9409000000005,5
12/43/14/706502,5,7259.9409000000005,5
12/43/14/706509,10,15326.5419,10
12/43/14/706516,6,8873.2611,6
12/43/15/706974,5,7259.9409000000005,5
12/43/15/706997,7,10486.581300000002,7
12/43/15/707006,7,10486.581300000002,7
12/43/15/707014,9,13713.221700000002,9
12/43/15/707021,5,7259.9409000000005,5
12/43/15/707029,9,13713.221700000002,9
12/43/15/707036,10,15326.5419,10
12/43/15/707043,6,8873.2611,6
12/43/15/707050,6,8873.2611,6
12/43/15/707057,4,5646.6207,4
12/43/16/707403,7,10486.581300000002,7
12/43/16/707425,4,5646.6207,4
12/43/16/707487,7,10486.581300000002,7
12/43/16/707497,1,806.6601,1
12/43/16/707505,4,5646.6207,4
12/43/16/707512,7,10486.581300000002,7
12/43/16/707521,10,15326.5419,10
12/43/16/707528,4,5646.6207,4
12/43/16/707535,4,5646.6207,4
12/43/16/707542,4,5646.6207,4
12/43/17/707843,1,806.6601,1
12/43/17/707866,9,13713.221700000002,9
12/43/17/707876,5,7259.9409000000005,5
12/43/17/707884,4,5646.6207,4
12/43/17/707892,7,10486.581300000002,7
12/43/17/707899,3,4033.3005000000003,3
12/43/17/707906,7,10486.581300000002,7
12/43/17/707913,4,5646.6207,4
12/43/17/707920,9,13713.221700000002,9
12/43/17/707927,6,8873.2611,6
12/43/18/708303,8,12099.9015,8
12/43/18/708323,7,10486.581300000002,7
12/43/18/708331,4,5646.6207,4
12/43/18/708339,8,12099.9015,8
12/43/18/708346,9,13713.221700000002,9
12/43/18/708353,9,13713.221700000002,9
12/43/18/708360,10,15326.5419,10
12/43/18/708367,4,5646.6207,4
12/43/18/708374,4,5646.6207,4
12/43/18/708381,5,7259.9409000000005,5
12/43/19/708842,6,8873.2611,6
12/43/19/708866,10,15326.5419,10
12/43/19/708875,9,13713.221700000002,9
12/43/19/708882,2,2419.9803,2
12/43/19/708890,2,2419.9803,2
12/43/19/708897,10,15326.5419,10
12/43/19/708904,5,7259.9409000000005,5
12/43/19/708911,4,5646.6207,4
12/43/19/708918,10,15326.5419,10
12/43/19/708925,3,4033.3005000000003,3
12/43/20/709354,9,13713.221700000002,9
12/43/20/709375,4,5646.6207,4
12/43/20/709383,10,15326.5419,10
12/43/20/709391,4,5646.6207,4
12/43/20/709399,7,10486.581300000002,7
12/43/20/709406,3,4033.3005000000003,3
12/43/20/709414,10,15326.5419,10
12/43/20/709421,10,15326.5419,10
12/43/20/709427,2,2419.9803,2
12/43/20/709434,9,13713.221700000002,9
12/43/21/709792,5,7259.9409000000005,5
12/43/21/709812,4,5646.6207,4
12/43/21/709820,3,4033.3005000000003,3
12/43/21/709828,7,10486.581300000002,7
12/43/21/709836,5,7259.9409000000005,5
12/43/21/709843,2,2419.9803,2
12/43/21/709850,3,4033.3005000000003,3
12/43/21/709857,5,7259.9409000000005,5
12/43/21/709864,2,2419.9803,2
12/43/21/709871,9,13713.221700000002,9
12/43/22/710215,6,8873.2611,6
12/43/22/710234,4,5646.6207,4
12/43/22/710243,7,10486.581300000002,7
12/43/22/710250,1,806.6601,1
12/43/22/710258,10,15326.5419,10
12/43/22/710265,8,12099.9015,8
12/43/22/710272,4,5646.6207,4
12/43/22/710279,10,15326.5419,10
12/43/22/710286,3,4033.3005000000003,3
12/43/22/710293,10,15326.5419,10
12/43/23/710726,3,4033.3005000000003,3
12/43/23/710751,10,15326.5419,10
12/43/23/710760,2,2419.9803,2
12/43/23/710768,5,7259.9409000000005,5
12/43/23/710776,7,10486.581300000002,7
12/43/23/710783,8,12099.9015,8
12/43/23/710791,6,8873.2611,6
12/43/23/710798,5,7259.9409000000005,5
12/43/23/710805,1,806.6601,1
12/43/23/710813,7,10486.581300000002,7
12/43/24/711251,10,15326.5419,10
12/43/24/711276,1,806.6601,1
12/43/24/711285,8,12099.9015,8
12/43/24/711293,5,7259.9409000000005,5
12/43/24/711301,6,8873.2611,6
12/43/24/711308,4,5646.6207,4
12/43/24/711315,9,13713.221700000002,9
12/43/24/711322,9,13713.221700000002,9
12/43/24/711329,6,8873.2611,6
12/43/24/711336,10,15326.5419,10
12/43/25/711789,1,806.6601,1
12/43/25/711811,8,12099.9015,8
12/43/25/711819,6,8873.2611,6
12/43/25/711827,6,8873.2611,6
12/43/25/711834,9,13713.221700000002,9
12/43/25/711842,8,12099.9015,8
12/43/25/711850,6,8873.2611,6
12/43/25/711857,9,13713.221700000002,9
12/43/25/711864,7,10486.581300000002,7
12/43/25/711871,10,15326.5419,10
12/43/26/712412,8,12099.9015,8
12/43/26/712437,9,13713.221700000002,9
12/43/26/712447,7,10486.581300000002,7
12/43/26/712455,9,13713.221700000002,9
12/43/26/712463,7,10486.581300000002,7
12/43/26/712471,6,8873.2611,6
12/43/26/712478,4,5646.6207,4
12/43/26/712485,10,15326.5419,10
12/43/26/712492,2,2419.9803,2
12/43/26/712500,1,806.6601,1
12/43/27/712986,5,7259.9409000000005,5
12/43/27/713017,8,12099.9015,8
12/43/27/713025,9,13713.221700000002,9
12/43/27/713033,7,10486.581300000002,7
12/43/27/713040,3,4033.3005000000003,3
12/43/27/713048,4,5646.6207,4
12/43/27/713055,2,2419.9803,2
12/43/27/713062,9,13713.221700000002,9
12/43/27/713069,4,5646.6207,4
12/43/27/713075,5,7259.9409000000005,5
12/43/28/713316,5,7259.9409000000005,5
12/43/28/713342,8,12099.9015,8
12/43/28/713350,7,10486.581300000002,7
12/43/28/713358,1,806.6601,1
12/43/28/713365,10,15326.5419,10
12/43/28/713372,8,12099.9015,8
12/43/28/713379,5,7259.9409000000005,5
12/43/28/713387,1,806.6601,1
12/43/28/713393,5,7259.9409000000005,5
12/43/28/713401,1,806.6601,1
12/43/29/713871,5,7259.9409000000005,5
12/43/29/713903,5,7259.9409000000005,5
12/43/29/713913,3,4033.3005000000003,3
12/43/29/713920,2,2419.9803,2
12/43/29/713928,5,7259.9409000000005,5
12/43/29/713935,1,806.6601,1
12/43/29/713942,4,5646.6207,4
12/43/29/713949,1,806.6601,1
12/43/29/713956,9,13713.221700000002,9
12/43/29/713964,4,5646.6207,4
12/43/30/714416,2,2419.9803,2
12/43/30/714437,7,10486.581300000002,7
12/43/30/714446,5,7259.9409000000005,5
12/43/30/714454,8,12099.9015,8
12/43/30/714461,8,12099.9015,8
12/43/30/714468,8,12099.9015,8
12/43/30/714475,10,15326.5419,10
12/43/30/714482,10,15326.5419,10
12/43/30/714489,2,2419.9803,2
12/43/30/714496,7,10486.581300000002,7
12/43/31/715398,6,8873.2611,6
12/43/31/715655,7,10486.581300000002,7
12/43/31/715681,5,7259.9409000000005,5
12/43/31/715690,2,2419.9803,2
12/43/31/715698,5,7259.9409000000005,5
12/43/31/715706,10,15326.5419,10
12/43/31/715713,2,2419.9803,2
12/43/31/715721,7,10486.581300000002,7
12/43/31/715728,8,12099.9015,8
12/43/31/715735,6,8873.2611,6
12/43/32/715921,2,2419.9803,2
12/43/32/715942,10,15326.5419,10
12/43/32/715950,8,12099.9015,8
12/43/32/715958,5,7259.9409000000005,5
12/43/32/715965,6,8873.2611,6
12/43/32/715972,5,7259.9409000000005,5
12/43/32/715980,4,5646.6207,4
12/43/32/715986,4,5646.6207,4
12/43/32/715993,7,10486.581300000002,7
12/43/32/716000,9,13713.221700000002,9
12/43/33/716452,7,10486.581300000002,7
12/43/33/716476,4,5646.6207,4
12/43/33/716485,4,5646.6207,4
12/43/33/716493,1,806.6601,1
12/43/33/716500,9,13713.221700000002,9
12/43/33/716509,6,8873.2611,6
12/43/33/716516,6,8873.2611,6
12/43/33/716523,4,5646.6207,4
12/43/33/716529,1,806.6601,1
12/43/33/716536,6,8873.2611,6
12/43/34/716907,9,13713.221700000002,9
12/43/34/716931,8,12099.9015,8
12/43/34/716940,6,8873.2611,6
12/43/34/716948,3,4033.3005000000003,3
12/43/34/716956,2,2419.9803,2
12/43/34/716963,2,2419.9803,2
12/43/34/716970,10,15326.5419,10
12/43/34/716977,6,8873.2611,6
12/43/34/716984,3,4033.3005000000003,3
12/43/34/716993,1,806.6601,1
12/43/35/717390,3,4033.3005000000003,3
12/43/35/717409,2,2419.9803,2
12/43/35/717417,5,7259.9409000000005,5
12/43/35/717425,1,806.6601,1
12/43/35/717432,7,10486.581300000002,7
12/43/35/717440,10,15326.5419,10
12/43/35/717447,2,2419.9803,2
12/43/35/717454,7,10486.581300000002,7
12/43/35/717461,7,10486.581300000002,7
12/43/35/717468,5,7259.9409000000005,5
12/43/36/717899,8,12099.9015,8
12/43/36/717922,5,7259.9409000000005,5
12/43/36/717931,6,8873.2611,6
12/43/36/717938,6,8873.2611,6
12/43/36/717945,9,13713.221700000002,9
12/43/36/717953,7,10486.581300000002,7
12/43/36/717960,7,10486.581300000002,7
12/43/36/717967,8,12099.9015,8
12/43/36/717974,5,7259.9409000000005,5
12/43/36/717981,1,806.6601,1
12/43/37/718422,9,13713.221700000002,9
12/43/37/718443,1,806.6601,1
12/43/37/718452,5,7259.9409000000005,5
12/43/37/718460,6,8873.2611,6
12/43/37/718467,8,12099.9015,8
12/43/37/718474,1,806.6601,1
12/43/37/718481,5,7259.9409000000005,5
12/43/37/718488,7,10486.581300000002,7
12/43/37/718495,3,4033.3005000000003,3
12/43/37/718502,2,2419.9803,2
12/43/38/718907,1,806.6601,1
12/43/38/718931,8,12099.9015,8
12/43/38/718939,5,7259.9409000000005,5
12/43/38/718948,7,10486.581300000002,7
12/43/38/718955,1,806.6601,1
12/43/38/718962,7,10486.581300000002,7
12/43/38/718969,4,5646.6207,4
12/43/38/718976,2,2419.9803,2
12/43/38/718983,9,13713.221700000002,9
12/43/38/718990,2,2419.9803,2
12/43/39/719397,1,806.6601,1
12/43/39/719425,5,7259.9409000000005,5
12/43/39/719434,9,13713.221700000002,9
12/43/39/719442,5,7259.9409000000005,5
12/43/39/719450,4,5646.6207,4
12/43/39/719458,3,4033.3005000000003,3
12/43/39/720260,10,15326.5419,10
12/43/39/720282,7,10486.581300000002,7
12/43/39/720293,2,2419.9803,2
12/43/39/720301,1,806.6601,1
12/43/40/719889,4,5646.6207,4
12/43/40/719911,3,4033.3005000000003,3
12/43/40/719921,8,12099.9015,8
12/43/40/719929,4,5646.6207,4
12/43/40/719937,8,12099.9015,8
12/43/40/719944,3,4033.3005000000003,3
12/43/40/719951,5,7259.9409000000005,5
12/43/40/719959,3,4033.3005000000003,3
12/43/40/719966,7,10486.581300000002,7
12/43/40/719973,10,15326.5419,10
12/43/41/720341,8,12099.9015,8
12/43/41/720364,7,10486.581300000002,7
12/43/41/720375,8,12099.9015,8
12/43/41/720383,9,13713.221700000002,9
12/43/41/720390,7,10486.581300000002,7
12/43/41/720398,3,4033.3005000000003,3
12/43/41/720406,7,10486.581300000002,7
12/43/41/720413,5,7259.9409000000005,5
12/43/41/720420,7,10486.581300000002,7
12/43/41/720427,4,5646.6207,4
12/43/42/720765,4,5646.6207,4
12/43/42/720786,10,15326.5419,10
12/43/42/720795,7,10486.581300000002,7
12/43/42/720803,5,7259.9409000000005,5
12/43/42/720810,6,8873.2611,6
12/43/42/720818,1,806.6601,1
12/43/42/720825,8,12099.9015,8
12/43/42/720832,1,806.6601,1
12/43/42/720839,8,12099.9015,8
12/43/42/720846,8,12099.9015,8
12/43/43/721194,8,12099.9015,8
12/43/43/721213,8,12099.9015,8
12/43/43/721222,6,8873.2611,6
12/43/43/721229,7,10486.581300000002,7
12/43/43/721237,1,806.6601,1
12/43/43/721244,2,2419.9803,2
12/43/43/721251,9,13713.221700000002,9
12/43/43/721258,5,7259.9409000000005,5
12/43/43/721266,10,15326.5419,10
12/43/43/721273,2,2419.9803,2
12/43/44/721732,5,7259.9409000000005,5
12/43/44/721753,3,4033.3005000000003,3
12/43/44/721762,4,5646.6207,4
12/43/44/721770,3,4033.3005000000003,3
12/43/44/721777,1,806.6601,1
12/43/44/721784,9,13713.221700000002,9
12/43/44/721792,3,4033.3005000000003,3
12/43/44/721799,2,2419.9803,2
12/43/44/721806,2,2419.9803,2
12/43/44/721813,4,5646.6207,4
12/43/45/722261,7,10486.581300000002,7
12/43/45/722286,10,15326.5419,10
12/43/45/722294,1,806.6601,1
12/43/45/722301,2,2419.9803,2
12/43/45/722309,8,12099.9015,8
12/43/45/722316,8,12099.9015,8
12/43/45/722323,7,10486.581300000002,7
12/43/45/722330,5,7259.9409000000005,5
12/43/45/722337,8,12099.9015,8
12/43/45/722344,7,10486.581300000002,7
12/43/46/722800,2,2419.9803,2
12/43/46/722830,7,10486.581300000002,7
12/43/46/722839,4,5646.6207,4
12/43/46/722847,10,15326.5419,10
12/43/46/722855,6,8873.2611,6
12/43/46/722862,7,10486.581300000002,7
12/43/46/722869,9,13713.221700000002,9
12/43/46/722877,6,8873.2611,6
12/43/46/722883,10,15326.5419,10
12/43/46/722891,3,4033.3005000000003,3
12/43/47/723320,6,8873.2611,6
12/43/47/723341,8,12099.9015,8
12/43/47/723351,1,806.6601,1
12/43/47/723359,5,7259.9409000000005,5
12/43/47/723366,10,15326.5419,10
12/43/47/723374,5,7259.9409000000005,5
12/43/47/723381,7,10486.581300000002,7
12/43/47/723388,2,2419.9803,2
12/43/47/723395,5,7259.9409000000005,5
12/43/47/723402,5,7259.9409000000005,5
12/43/48/723749,2,2419.9803,2
12/43/48/723768,9,13713.221700000002,9
12/43/48/723778,9,13713.221700000002,9
12/43/48/723785,9,13713.221700000002,9
12/43/48/723793,8,12099.9015,8
12/43/48/723800,1,806.6601,1
12/43/48/723807,10,15326.5419,10
12/43/48/723814,9,13713.221700000002,9
12/43/48/723821,5,7259.9409000000005,5
12/43/48/723829,3,4033.3005000000003,3
12/43/49/724274,5,7259.9409000000005,5
12/43/49/724295,7,10486.581300000002,7
12/43/49/724304,10,15326.5419,10
12/43/49/724312,4,5646.6207,4
12/43/49/724319,7,10486.581300000002,7
12/43/49/724326,1,806.6601,1
12/43/49/724333,4,5646.6207,4
12/43/49/724340,8,12099.9015,8
12/43/49/724347,5,7259.9409000000005,5
12/43/49/724354,9,13713.221700000002,9
12/43/50/724742,6,8873.2611,6
12/43/50/724764,4,5646.6207,4
12/43/50/724773,4,5646.6207,4
12/43/50/724780,7,10486.581300000002,7
12/43/50/724789,3,4033.3005000000003,3
12/43/50/724796,8,12099.9015,8
12/43/50/724804,7,10486.581300000002,7
12/43/50/724811,6,8873.2611,6
12/43/50/724818,9,13713.221700000002,9
12/43/50/724825,4,5646.6207,4
12/43/51/725184,2,2419.9803,2
12/43/51/725202,2,2419.9803,2
12/43/51/725210,6,8873.2611,6
12/43/51/725217,7,10486.581300000002,7
12/43/51/725224,10,15326.5419,10
12/43/51/725231,9,13713.221700000002,9
12/43/51/725239,10,15326.5419,10
12/43/51/725245,2,2419.9803,2
12/43/51/725252,1,806.6601,1
12/43/51/725259,9,13713.221700000002,9
12/43/52/725707,1,806.6601,1
12/43/52/725727,5,7259.9409000000005,5
12/43/52/725736,5,7259.9409000000005,5
12/43/52/725743,6,8873.2611,6
12/43/52/725752,4,5646.6207,4
12/43/52/725760,6,8873.2611,6
12/43/52/725767,2,2419.9803,2
12/43/52/725773,9,13713.221700000002,9
12/43/52/725780,2,2419.9803,2
12/43/52/725787,10,15326.5419,10
